zone_climatique,typologie,etat_isolation_menuiseries,etat_isolation_plancher_bas,etat_isolation_plancher_haut,etat_isolation_murs,scenario_renovation_enveloppe,etat_isolation_menuiseries_apres_scénario_renovation_enveloppe,etat_isolation_plancher_bas_apres_scénario_renovation_enveloppe,etat_isolation_plancher_haut_apres_scénario_renovation_enveloppe,etat_isolation_murs_apres_scénario_renovation_enveloppe,type_CH,type_ECS,CH,ECS,emetteur,scenario_renovation_systeme,usage_CH,usage_ECS,Annexe,CEP,GES,DPE,gain_CEP
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,198,18,D,41%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,210,27,D,37%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,232,19,D,31%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INIT,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,238,28,D,29%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,S0,,,0,306,81,F,9%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,222,58,E,34%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,267,80,F,20%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,276,79,F,18%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH + ECS : PAC Air / Eau,OUI,OUI,0,179,16,C,46%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH + ECS Hybride : PAC + Chaudière,OUI,OUI,0,191,24,D,43%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH seul : PAC Air / Eau,OUI,NON,0,214,17,D,36%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,INTER,Isolé,Pas isolé,Isolé,Pas isolé,GAZ,ELEC,COL,IND,Hydraulique,CH seul Hybride : PAC + Chaudière,OUI,NON,0,219,25,D,35%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,ELEC,COL,IND,Hydraulique,S0,,,0,220,53,E,34%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,ELEC,COL,IND,Hydraulique,Chaudière gaz à condensation,OUI,OUI,0,159,38,D,53%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,ELEC,COL,IND,Hydraulique,ECS seule : PAC Air / Eau,NON,OUI,0,181,52,E,46%
75 - Paris,Petit collectif - Avant 1948,Pas isolé,Pas isolé,Pas isolé,Pas isolé,GLOB,Isolé,Isolé,Isolé,Isolé,GAZ,ELEC,COL,IND,Hydraulique,ECS seule Hybride : PAC + chaudière,NON,OUI,0,190,51,E,43%
